.thisTrialN,.stepSize,.intensity,.response,key_resp_2.rt,Face,participant,date,expName,psychopyVersion,frameRate,
196,4,0.007318215144603624,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
197,4,0.005840425934071997,0,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
198,4,0.008378233228398924,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
199,4,0.006920215455743742,0,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
200,4,0.00941626312649925,0,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
201,4,0.012074932658413084,0,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
202,4,0.014675516735528887,0,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
203,4,0.017175224208106923,0,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
204,4,0.019807991217320214,0,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
205,4,0.02263908944499629,0,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
206,4,0.0253526800130221,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
207,4,0.023692534427067757,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
208,4,0.0220749853111461,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
209,4,0.020424752598748014,0,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
210,4,0.023197477797072166,0,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
211,4,0.02584088754639545,0,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
212,4,0.028602741769449685,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
213,4,0.0270198549852608,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
214,4,0.025426960416037883,0,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
215,4,0.028168123372189657,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
216,4,0.026599781386315552,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
217,4,0.025019873124359535,0,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
218,4,0.02774140536154407,0,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
219,4,0.030434562541300503,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
220,4,0.028855742558057215,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
221,4,0.027322269164650623,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
222,4,0.025780959908501114,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
223,4,0.024225115906005665,0,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
224,4,0.02670592787993467,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
225,4,0.025174193852815094,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
226,4,0.02362558092685972,0,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
227,4,0.02609887299471332,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
228,4,0.02457562646157274,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
